name,politicalpartylabel,image
Eva Joly,Europe Écologie Les Verts,http://commons.wikimedia.org/wiki/Special:FilePath/Eva%20Joly%20par%20Claude%20Truong-Ngoc%20juin%202013.jpg
François Bayrou,Mouvement démocrate,http://commons.wikimedia.org/wiki/Special:FilePath/BayrouEM.jpg
François Hollande,Parti socialiste,http://commons.wikimedia.org/wiki/Special:FilePath/Francois%20Hollande%202015.jpeg
Jacques Cheminade,Solidarité et Progrès,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Cheminade%202.jpg
Jean-Luc Mélenchon,Parti de gauche,http://commons.wikimedia.org/wiki/Special:FilePath/Melenchon%2C%206%C3%A8me%20R%C3%A9publique%20-%20MG%206513%20%28cropped%29.jpg
Marine Le Pen,Front national,http://commons.wikimedia.org/wiki/Special:FilePath/Marine%20Le%20Pen%20%282017-03-24%29%2001%20cropped.jpg
Nathalie Arthaud,Lutte ouvrière,http://commons.wikimedia.org/wiki/Special:FilePath/Nathalie%20Arthaud.png
Nicolas Dupont-Aignan,Debout la France,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Dupont-Aignan%20DLR%202009-06-02%20n1.jpg
Nicolas Sarkozy,Union pour un mouvement populaire,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Sarkozy%20%282015-10-29%29%2003%20%28cropped%29.jpg
Philippe Poutou,Nouveau Parti anticapitaliste,http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Gilets%20Jaunes%20%2833249708098%29%20%28cropped%29.jpg
