INSEE,dept,region
t1783144906,Côtes-d'Armor,Région Bretagne
t1795830517,Côtes-d'Armor,Région Bretagne
22270,Côtes-d'Armor,Région Bretagne
t1783144910,Côtes-d'Armor,Région Bretagne
22374,Côtes-d'Armor,Région Bretagne
t1783146182,Côtes-d'Armor,Région Bretagne
t1783146174,Côtes-d'Armor,Région Bretagne
22046,Côtes-d'Armor,Région Bretagne
22203,Côtes-d'Armor,Région Bretagne
22183,Côtes-d'Armor,Région Bretagne
22084,Côtes-d'Armor,Région Bretagne
22055,Côtes-d'Armor,Région Bretagne
22158,Côtes-d'Armor,Région Bretagne
22209,Côtes-d'Armor,Région Bretagne
22107,Côtes-d'Armor,Région Bretagne
t1783155008,Côtes-d'Armor,Région Bretagne
t1783154989,Côtes-d'Armor,Région Bretagne
22217,Côtes-d'Armor,Région Bretagne
22354,Côtes-d'Armor,Région Bretagne
22251,Côtes-d'Armor,Région Bretagne
22319,Côtes-d'Armor,Région Bretagne
22289,Côtes-d'Armor,Région Bretagne
22259,Côtes-d'Armor,Région Bretagne
22213,Côtes-d'Armor,Région Bretagne
22116,Côtes-d'Armor,Région Bretagne
22111,Côtes-d'Armor,Région Bretagne
22062,Côtes-d'Armor,Région Bretagne
22071,Côtes-d'Armor,Région Bretagne
22126,Côtes-d'Armor,Région Bretagne
22310,Côtes-d'Armor,Région Bretagne
22226,Côtes-d'Armor,Région Bretagne
22026,Côtes-d'Armor,Région Bretagne
22179,Côtes-d'Armor,Région Bretagne
22214,Côtes-d'Armor,Région Bretagne
22279,Côtes-d'Armor,Région Bretagne
22216,Côtes-d'Armor,Région Bretagne
22191,Côtes-d'Armor,Région Bretagne
22317,Côtes-d'Armor,Région Bretagne
22315,Côtes-d'Armor,Région Bretagne
22193,Côtes-d'Armor,Région Bretagne
22025,Côtes-d'Armor,Région Bretagne
22049,Côtes-d'Armor,Région Bretagne
22304,Côtes-d'Armor,Région Bretagne
22169,Côtes-d'Armor,Région Bretagne
22129,Côtes-d'Armor,Région Bretagne
22166,Côtes-d'Armor,Région Bretagne
22078,Côtes-d'Armor,Région Bretagne
22081,Côtes-d'Armor,Région Bretagne
22322,Côtes-d'Armor,Région Bretagne
22311,Côtes-d'Armor,Région Bretagne
22164,Côtes-d'Armor,Région Bretagne
22255,Côtes-d'Armor,Région Bretagne
22350,Côtes-d'Armor,Région Bretagne
22215,Côtes-d'Armor,Région Bretagne
22043,Côtes-d'Armor,Région Bretagne
22339,Côtes-d'Armor,Région Bretagne
22057,Côtes-d'Armor,Région Bretagne
22286,Côtes-d'Armor,Région Bretagne
22314,Côtes-d'Armor,Région Bretagne
22121,Côtes-d'Armor,Région Bretagne
22207,Côtes-d'Armor,Région Bretagne
22325,Côtes-d'Armor,Région Bretagne
22085,Côtes-d'Armor,Région Bretagne
22267,Côtes-d'Armor,Région Bretagne
22145,Côtes-d'Armor,Région Bretagne
22346,Côtes-d'Armor,Région Bretagne
22201,Côtes-d'Armor,Région Bretagne
22365,Côtes-d'Armor,Région Bretagne
22384,Côtes-d'Armor,Région Bretagne
22024,Côtes-d'Armor,Région Bretagne
22058,Côtes-d'Armor,Région Bretagne
22242,Côtes-d'Armor,Région Bretagne
22300,Côtes-d'Armor,Région Bretagne
22105,Côtes-d'Armor,Région Bretagne
22318,Côtes-d'Armor,Région Bretagne
22124,Côtes-d'Armor,Région Bretagne
22274,Côtes-d'Armor,Région Bretagne
22349,Côtes-d'Armor,Région Bretagne
22094,Côtes-d'Armor,Région Bretagne
22101,Côtes-d'Armor,Région Bretagne
22070,Côtes-d'Armor,Région Bretagne
22232,Côtes-d'Armor,Région Bretagne
22113,Côtes-d'Armor,Région Bretagne
22123,Côtes-d'Armor,Région Bretagne
22036,Côtes-d'Armor,Région Bretagne
22254,Côtes-d'Armor,Région Bretagne
22378,Côtes-d'Armor,Région Bretagne
22079,Côtes-d'Armor,Région Bretagne
22246,Côtes-d'Armor,Région Bretagne
22171,Côtes-d'Armor,Région Bretagne
22332,Côtes-d'Armor,Région Bretagne
22224,Côtes-d'Armor,Région Bretagne
22102,Côtes-d'Armor,Région Bretagne
22302,Côtes-d'Armor,Région Bretagne
22048,Côtes-d'Armor,Région Bretagne
22353,Côtes-d'Armor,Région Bretagne
22186,Côtes-d'Armor,Région Bretagne
22007,Côtes-d'Armor,Région Bretagne
22011,Côtes-d'Armor,Région Bretagne
22334,Côtes-d'Armor,Région Bretagne
22065,Côtes-d'Armor,Région Bretagne
22023,Côtes-d'Armor,Région Bretagne
22358,Côtes-d'Armor,Région Bretagne
22020,Côtes-d'Armor,Région Bretagne
22303,Côtes-d'Armor,Région Bretagne
22075,Côtes-d'Armor,Région Bretagne
22347,Côtes-d'Armor,Région Bretagne
22205,Côtes-d'Armor,Région Bretagne
22283,Côtes-d'Armor,Région Bretagne
