commune_nom,INSEE,pop,donnesgeo,area,elevation,blason
Campénéac,56032,1903,Point(-2.294722222 47.957777777),60.57,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Camp%C3%A9n%C3%A9ac%20%28Morbihan%29.svg
Larmor-Plage,56107,8299,Point(-3.384166666 47.706388888),7.27,9,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Larmor-Plage%20%28Morbihan%29.svg
Landaul,56096,2298,Point(-3.0761 47.7483),17.35,23,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Landaul%20%28Morbihan%29.svg
Monterblanc,56137,3275,Point(-2.681944444 47.7425),25.41,89,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Monterblanc%20%2856%29.svg
Lauzach,56109,1146,Point(-2.544722222 47.614722222),10.76,52,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Lauzach%20%28Morbihan%29.svg
Férel,56058,3220,Point(-2.343611111 47.482222222),28.9,40,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20F%C3%A9rel%20%28Morbihan%29.svg
Gourin,56066,3803,Point(-3.6075 48.139444444),74.72,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gourin%20%28Morbihan%29.svg
La Chapelle-Gaceline,56038,768,Point(-2.106666666 47.783611111),7.79,20,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20La%20Chapelle-Gaceline%20%28Morbihan%29.svg
La Grée-Saint-Laurent,56068,336,Point(-2.498888888 47.995277777),7.9,95,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20La%20Gr%C3%A9e-Saint-Laurent%20%28Morbihan%29.svg
Glénac,56064,894,Point(-2.133055555 47.726666666),13.7,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gl%C3%A9nac%20%28Morbihan%29.svg
Langonnet,56100,1757,Point(-3.493333333 48.105555555),85.4,180,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Langonnet%20%28Morbihan%29.svg
Guégon,56070,2287,Point(-2.564722222 47.938055555),53.52,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gu%C3%A9gon%20%28Morbihan%29.svg
Nivillac,56147,4612,Point(-2.2825 47.533888888),55.48,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Nivillac%2001%20%28Morbihan%29.svg
Le Guerno,56077,969,Point(-2.408333333 47.583055555),9.75,70,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20Guerno%20%28Morbihan%29.svg
Kerfourn,56092,838,Point(-2.833333333 48.043055555),19.46,130,http://commons.wikimedia.org/wiki/Special:FilePath/Bandeau-kerfourn%20blason.jpg
Hennebont,56083,15678,Point(-3.278888888 47.804166666),18.57,5,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20d%27hennebont.png
Josselin,56091,2495,Point(-2.548333333 47.955833333),4.48,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Josselin%20%28Morbihan%29.svg
Lanester,56098,22728,Point(-3.338888888 47.763333333),18.37,5,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Lanester.svg
Landévant,56097,3810,Point(-3.121666666 47.764722222),22.34,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Land%C3%A9vant%20%28Morbihan%29.svg
Merlevenez,56130,3207,Point(-3.233611111 47.736666666),17.67,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Merlevenez%20%28Morbihan%29.svg
Île-d'Houat,56086,231,Point(-2.955555555 47.39),2.91,27,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Ile-d%27Houat%20%28Morbihan%29.svg
Le Hézo,56084,813,Point(-2.703611111 47.585277777),4.89,6,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20H%C3%A9zo%20%28Morbihan%29.svg
Inzinzac-Lochrist,56090,6526,Point(-3.266944444 47.843611111),44.67,72,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Inzinzac-Lochrist%20%28Morbihan%29.svg
Concoret,56043,734,Point(-2.206388888 48.064166666),15.76,90,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Concoret%20%28Morbihan%29.svg
Brignac,56025,186,Point(-2.388333333 48.120555555),13.12,84,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Brignac%20%28Morbihan%29.svg
Noyal-Pontivy,56151,3639,Point(-2.881944444 48.066666666),53.45,120,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Noyal-Pontivy%20%28Morbihan%29.svg
Cléguérec,56041,2906,Point(-3.070555555 48.124166666),62.99,155,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Cl%C3%A9gu%C3%A9rec%20%28Morbihan%29.svg
Loyat,56122,1624,Point(-2.383333333 47.99),41.52,42,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Loyat%20%28Morbihan%29.svg
