name,party,image
Alain Madelin,Démocratie libérale,http://commons.wikimedia.org/wiki/Special:FilePath/Alain%20Madelin.jpg
Arlette Laguiller,Lutte ouvrière,http://commons.wikimedia.org/wiki/Special:FilePath/Arlette%20Laguiller.jpg
Bruno Mégret,Mouvement national républicain,http://commons.wikimedia.org/wiki/Special:FilePath/Bruno%20Megret%20482555538%2017cb7bbe60%20o.jpg
Christiane Taubira,Parti radical de gauche,http://commons.wikimedia.org/wiki/Special:FilePath/Christiane%20Taubira%20par%20Claude%20Truong-Ngoc%20juin%202013.jpg
Christine Boutin,Forum des républicains sociaux,http://commons.wikimedia.org/wiki/Special:FilePath/Boutin%2C%20Christine.jpg
Corinne Lepage,Cap21,http://commons.wikimedia.org/wiki/Special:FilePath/Lepage%2C%20Corinne-2493.jpg
Daniel Gluckstein,Parti des travailleurs,http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Gluckstein%20en%202002%20a%20Lyon.jpg
François Bayrou,Union pour la démocratie française,http://commons.wikimedia.org/wiki/Special:FilePath/BayrouEM.jpg
Jacques Chirac,Rassemblement pour la République,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Chirac%20%281997%29%20%28cropped%29.jpg
Jean-Marie Le Pen,Front national,http://commons.wikimedia.org/wiki/Special:FilePath/JM%20Le%20Pen%2022092007.jpg
Jean-Pierre Chevènement,Mouvement des citoyens,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Pierre%20Chev%C3%A8nement%20-%20Royal%20%26%20Zapatero%27s%20meeting%20in%20Toulouse%20for%20the%202007%20French%20presidential%20election%200513%202007-04-19%20cropped.jpg
Lionel Jospin,Parti socialiste,http://commons.wikimedia.org/wiki/Special:FilePath/Delanoe%20Zenith%202008%2002%2027%20n19.jpg
Noël Mamère,Les Verts,http://commons.wikimedia.org/wiki/Special:FilePath/Noel.Mamere2006.JPG
Olivier Besancenot,Ligue communiste révolutionnaire,http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Besancenot%20by%20Thomas%20Bresson.JPG
Robert Hue,Parti communiste français,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Hue.jpg
Jean Saint-Josse,"Chasse, pêche, nature et traditions",http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Saint-Josse.JPG
