name,politicalpartylabel,image
Arlette Laguiller,Lutte ouvrière,http://commons.wikimedia.org/wiki/Special:FilePath/Arlette%20Laguiller.jpg
Dominique Voynet,Les Verts,http://commons.wikimedia.org/wiki/Special:FilePath/Meeting%20Voynet%20Mutualite%202006-04-05%20n2%20%28cropped%29.jpg
François Bayrou,Union pour la démocratie française,http://commons.wikimedia.org/wiki/Special:FilePath/BayrouEM.jpg
Frédéric Nihous,"Chasse, pêche, nature et traditions",http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%A9d%C3%A9ric%20Nihous%20-%20Langon%202007%20-%20p1%20cropped.jpg
Gérard Schivardi,Parti des travailleurs,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9rard%20Schivardi%20%26%20Marianne%2C%20Bustes%20Mailhac.jpg
Jean-Marie Le Pen,Front national,http://commons.wikimedia.org/wiki/Special:FilePath/JM%20Le%20Pen%2022092007.jpg
José Bové,sans étiquette,http://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9%20Bov%C3%A9%20par%20Claude%20Truong-Ngoc%202013.jpg
Marie-George Buffet,Parti communiste français,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-George%20Buffet%20en%202012.jpg
Nicolas Sarkozy,Union pour un mouvement populaire,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Sarkozy%20%282015-10-29%29%2003%20%28cropped%29.jpg
Olivier Besancenot,Ligue communiste révolutionnaire,http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Besancenot%20by%20Thomas%20Bresson.JPG
Philippe de Villiers,Mouvement pour la France,http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20de%20Villiers%20-%20Meeting%20in%20Toulouse%20for%20the%202007%20French%20presidential%20election%200165%202007-04-16%20cropped.jpg
Ségolène Royal,Parti socialiste,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9gol%C3%A8ne%20Royal%20-%20Janvier%202012.jpg
